Algorithm: Config_3b.txt
Run Time: 10(s)
Runs: 100
Instance Name        | Instance Best Objective Value  | Instance Average Objective Value | Highest Objective Value Count 
MANN_a27.clq         | 12253                          | 12252.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111087.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 26                            

Run: 27
johnson16-2-4.clq    | 548                            | 548.00                           | 27                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 27                            
johnson8-4-4.clq     | 511                            | 511.00                           | 27                            
keller4.clq          | 1153                           | 1153.00                          | 27                            
keller5.clq          | 3317                           | 3317.00                          | 27                            
keller6.clq          | 7231                           | 6725.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 27                            

Run: 28
johnson16-2-4.clq    | 548                            | 548.00                           | 28                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 28                            
johnson8-4-4.clq     | 511                            | 511.00                           | 28                            
keller4.clq          | 1153                           | 1153.00                          | 28                            
keller5.clq          | 3317                           | 3317.00                          | 28                            
keller6.clq          | 7231                           | 6734.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34144.00                         | 1                             
MANN_a81.clq         | 111112                         | 111086.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 28                            

Run: 29
johnson16-2-4.clq    | 548                            | 548.00                           | 29                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 29                            
johnson8-4-4.clq     | 511                            | 511.00                           | 29                            
keller4.clq          | 1153                           | 1153.00                          | 29                            
keller5.clq          | 3317                           | 3317.00                          | 29                            
keller6.clq          | 7231                           | 6739.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 29                            

Run: 30
johnson16-2-4.clq    | 548                            | 548.00                           | 30                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 30                            
johnson8-4-4.clq     | 511                            | 511.00                           | 30                            
keller4.clq          | 1153                           | 1153.00                          | 30                            
keller5.clq          | 3317                           | 3317.00                          | 30                            
keller6.clq          | 7231                           | 6739.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 30                            

Run: 31
johnson16-2-4.clq    | 548                            | 548.00                           | 31                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 31                            
johnson8-4-4.clq     | 511                            | 511.00                           | 31                            
keller4.clq          | 1153                           | 1153.00                          | 31                            
keller5.clq          | 3317                           | 3317.00                          | 31                            
keller6.clq          | 7231                           | 6745.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111084.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 31                            

Run: 32
johnson16-2-4.clq    | 548                            | 548.00                           | 32                            
johnson32-2-4.clq    | 1991                           | 1948.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 32                            
johnson8-4-4.clq     | 511                            | 511.00                           | 32                            
keller4.clq          | 1153                           | 1153.00                          | 32                            
keller5.clq          | 3317                           | 3317.00                          | 32                            
keller6.clq          | 7231                           | 6748.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111084.00                        | 1                             
MANN_a9.clq          | 372                            | 372.00                           | 32                            

Run: 33
johnson16-2-4.clq    | 548                            | 548.00                           | 33                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 33                            
johnson8-4-4.clq     | 511                            | 511.00                           | 33                            
keller4.clq          | 1153                           | 1153.00                          | 33                            
keller5.clq          | 3317                           | 3317.00                          | 33                            
keller6.clq          | 7231                           | 6750.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
MANN_a45.clq         | 34152                          | 34143.00                         | 1                             
MANN_a81.clq         | 111112                         | 111085.00                        | 2                             
MANN_a9.clq          | 372                            | 372.00                           | 33                            

Run: 34
johnson16-2-4.clq    | 548                            | 548.00                           | 34                            
johnson32-2-4.clq    | 1991                           | 1949.00                          | 1                             
johnson8-2-4.clq     | 66                             | 66.00                            | 34                            
johnson8-4-4.clq     | 511                            | 511.00                           | 34                            
keller4.clq          | 1153                           | 1153.00                          | 34                            
keller5.clq          | 3317                           | 3317.00                          | 34                            
keller6.clq          | 7231                           | 6746.00                          | 1                             
MANN_a27.clq         | 12253                          | 12251.00                         | 5                             
